sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
0,22,21,276,560,879,3,3,0
1,24,18,271,1469,1782,3,2,1
2,19,19,443,381,862,3,3,0
3,23,17,297,557,894,3,3,0
4,22,15,302,591,930,3,3,0
5,21,14,274,539,848,3,3,0
6,23,16,325,531,895,3,3,0
7,24,18,269,583,894,3,3,0
8,22,15,334,442,813,3,3,0
9,23,17,332,618,990,3,3,0
10,19,14,269,613,915,3,3,0
11,19,14,290,541,864,3,3,0
12,18,12,303,514,847,3,3,0
13,18,13,298,542,871,3,3,0
14,18,13,279,616,926,3,3,0
15,18,13,297,576,904,3,3,0
16,12,13,260,704,989,3,3,0
17,19,13,295,514,841,3,3,0
18,18,12,354,521,905,3,3,0
19,18,13,297,576,904,3,3,0
20,16,15,294,589,914,3,3,0
21,16,18,325,489,848,3,3,0
22,17,17,272,559,865,3,3,0
23,15,15,274,606,910,3,3,0
24,15,15,321,578,929,3,3,0
25,15,15,259,638,927,3,3,0
26,15,15,287,646,963,3,3,0
27,15,15,323,502,855,3,3,0
28,15,15,343,544,917,3,3,0
29,16,16,272,563,867,3,3,0
30,15,15,286,609,925,3,3,0
31,15,14,287,561,877,3,3,0
32,15,15,311,495,836,3,3,0
33,15,15,371,525,926,3,3,0
34,15,15,293,601,924,3,3,0
35,15,15,313,556,899,3,3,0
36,15,15,276,600,906,3,3,0
37,16,16,274,650,956,3,3,0
38,15,15,263,640,933,3,3,0
39,15,14,332,567,928,3,3,0
40,16,16,269,538,839,3,3,0
41,16,17,318,534,885,3,3,0
42,16,16,335,536,903,3,3,0
43,17,18,264,582,881,3,3,0
44,16,16,313,537,882,3,3,0
45,16,18,273,566,873,3,3,0
46,16,15,282,581,894,3,3,0
47,17,19,305,508,849,3,3,0
48,23,20,318,555,916,3,3,0
49,20,16,254,573,863,3,3,0
50,18,13,275,572,878,3,3,0
51,18,14,356,493,881,3,3,0
52,19,14,352,603,988,3,3,0
53,19,13,244,596,872,3,3,0
54,19,13,283,608,923,3,3,0
55,18,13,279,602,912,3,3,0
56,19,13,263,593,888,3,3,0
57,18,13,360,462,853,3,3,0
58,19,13,253,597,882,3,3,0
59,18,13,299,548,878,3,3,0
60,19,13,404,433,869,3,3,0
61,18,13,267,728,1026,3,3,0
62,13,14,299,627,953,3,3,0
63,18,13,266,571,868,3,3,0
64,18,13,341,507,879,3,3,0
65,18,13,391,434,856,3,3,0
66,18,13,278,638,947,3,3,0
67,18,12,263,580,873,3,3,0
68,12,13,231,739,995,3,3,0
69,18,13,281,582,894,3,3,0
70,18,12,252,607,889,3,3,0
71,18,12,252,640,922,3,3,0
72,18,13,252,610,893,3,3,0
73,12,13,297,534,856,3,3,0
