sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
0,74,30,446,499,1049,3,3,0
1,72,25,281,596,974,3,3,0
2,70,23,305,670,1068,3,3,0
3,70,23,325,518,936,3,3,0
4,74,25,277,642,1018,3,3,0
5,55,21,311,581,968,3,3,0
6,45,21,289,595,950,3,3,0
7,45,21,282,557,905,3,3,0
8,74,24,289,569,956,3,3,0
9,44,20,339,595,998,3,3,0
10,69,21,301,580,971,3,3,0
11,74,25,330,630,1059,3,3,0
12,73,24,302,574,973,3,3,0
13,60,26,295,580,961,3,3,0
14,56,18,263,595,932,3,3,0
15,58,21,359,580,1018,3,3,0
16,69,21,296,574,960,3,3,0
17,68,21,349,647,1085,3,3,0
18,73,26,260,573,932,3,3,0
19,66,20,316,553,955,3,3,0
20,56,18,268,578,920,3,3,0
21,70,22,373,529,994,3,3,0
22,62,21,380,488,951,3,3,0
23,66,21,378,529,994,3,3,0
24,66,21,313,598,998,3,3,0
25,60,22,306,573,961,3,3,0
26,60,21,302,612,995,3,3,0
27,71,23,351,508,953,3,3,0
28,72,23,274,625,994,3,3,0
29,69,21,345,553,988,3,3,0
30,65,21,397,514,997,3,3,0
31,70,22,354,568,1014,3,3,0
32,44,22,320,617,1003,3,3,0
33,43,22,366,557,988,3,3,0
34,45,26,280,631,982,3,3,0
35,43,21,352,584,1000,3,3,0
36,43,21,302,611,977,3,3,0
37,73,24,355,563,1015,3,3,0
38,76,26,298,528,928,3,3,0
39,72,23,390,535,1020,3,3,0
40,57,21,322,586,986,3,3,0
41,58,22,294,613,987,3,3,0
42,66,21,329,583,999,3,3,0
43,68,21,377,528,994,3,3,0
44,67,20,292,577,956,3,3,0
45,67,20,375,478,940,3,3,0
46,44,21,303,620,988,3,3,0
47,43,21,308,617,989,3,3,0
48,43,21,311,560,935,3,3,0
49,42,22,367,553,984,3,3,0
50,43,21,321,576,961,3,3,0
51,43,22,303,574,942,3,3,0
52,49,26,269,586,930,3,3,0
53,71,22,366,480,939,3,3,0
54,69,22,284,558,933,3,3,0
55,68,21,274,598,961,3,3,0
56,65,21,373,471,930,3,3,0
57,66,22,363,479,930,3,3,0
58,66,21,277,635,999,3,3,0
59,68,21,365,559,1013,3,3,0
60,45,21,363,580,1009,3,3,0
61,68,21,341,577,1007,3,3,0
62,73,25,256,611,965,3,3,0
63,72,23,254,694,1043,3,3,0
64,54,25,321,535,935,3,3,0
65,45,22,383,553,1003,3,3,0
66,45,21,366,580,1012,3,3,0
67,54,27,343,530,954,3,3,0
68,50,24,262,595,931,3,3,0
69,67,22,331,491,911,3,3,0
70,68,22,280,599,969,3,3,0
71,44,22,379,523,968,3,3,0
72,43,21,327,560,951,3,3,0
73,43,24,329,591,987,3,3,0
74,44,21,388,498,951,3,3,0
75,44,24,361,550,979,3,3,0
76,46,25,288,566,925,3,3,0
77,43,22,354,516,935,3,3,0
78,43,23,345,531,942,3,3,0
79,57,22,336,550,965,3,3,0
80,60,25,326,516,927,3,3,0
81,56,21,337,490,904,3,3,0
82,58,21,284,540,903,3,3,0
83,46,24,314,535,919,3,3,0
84,43,22,309,633,1007,3,3,0
85,43,23,337,601,1004,3,3,0
86,62,22,328,625,1037,3,3,0
87,71,23,305,698,1097,3,3,0
88,73,23,312,702,1110,3,3,0
89,70,23,338,681,1112,3,3,0
90,72,24,344,516,956,3,3,0
91,46,24,330,648,1048,3,3,0
92,74,24,290,651,1039,3,3,0
93,72,24,349,504,949,3,3,0
94,31,22,339,632,1024,3,3,0
95,30,24,405,563,1022,3,3,0
96,31,23,357,635,1046,3,3,0
97,31,24,415,486,956,3,3,0
98,31,24,329,543,927,3,3,0
99,45,25,386,465,921,3,3,0
100,46,24,333,582,985,3,3,0
101,45,25,366,503,939,3,3,0
