sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
0,20,23,239,568,850,3,3,0
1,24,17,273,537,851,3,3,0
2,17,19,360,683,1079,3,2,1
3,23,22,301,544,890,3,3,0
4,20,24,306,522,872,3,3,0
5,25,20,275,555,875,3,3,0
6,29,21,361,563,974,3,3,0
7,13,15,238,672,938,3,3,0
8,13,14,233,704,964,3,3,0
9,21,18,253,535,827,3,3,0
10,20,14,272,558,864,3,3,0
11,19,14,300,608,941,3,3,0
12,13,14,328,597,952,3,3,0
13,14,16,242,680,952,3,3,0
14,28,18,307,523,876,3,3,0
15,22,21,287,576,906,3,3,0
16,13,14,260,735,1022,3,3,0
17,13,14,326,538,891,3,3,0
18,13,14,307,597,931,3,3,0
19,13,13,324,552,902,3,3,0
20,13,13,287,558,871,3,3,0
21,13,14,316,597,940,3,3,0
22,16,16,387,524,943,3,3,0
23,18,18,340,584,960,3,3,0
24,17,19,323,476,835,3,3,0
25,17,16,253,653,939,3,3,0
26,16,16,313,553,898,3,3,0
27,16,16,293,618,943,3,3,0
28,16,15,250,658,939,3,3,0
29,17,16,292,600,925,3,3,0
30,16,16,315,603,950,3,3,0
31,16,16,284,611,927,3,3,0
32,18,19,292,519,848,3,3,0
33,24,18,283,505,830,3,3,0
34,16,17,307,590,930,3,3,0
35,16,17,323,482,838,3,3,0
36,17,18,301,582,918,3,3,0
37,16,16,256,612,900,3,3,0
38,17,17,295,486,815,3,3,0
39,16,16,295,599,926,3,3,0
40,16,15,265,676,972,3,3,0
41,16,16,376,527,935,3,3,0
42,27,22,306,505,860,3,3,0
43,24,17,261,697,999,3,3,0
44,24,17,315,498,854,3,3,0
45,24,15,353,565,957,3,3,0
46,23,16,293,554,886,3,3,0
47,23,16,265,650,954,3,3,0
48,24,16,303,542,885,3,3,0
49,23,16,303,546,888,3,3,0
50,23,16,290,495,824,3,3,0
51,24,16,287,585,912,3,3,0
52,24,16,298,557,895,3,3,0
53,24,16,268,586,894,3,3,0
54,23,16,281,606,926,3,3,0
55,23,16,264,630,933,3,3,0
56,24,17,296,598,935,3,3,0
57,25,17,289,575,906,3,3,0
58,14,15,353,510,892,3,3,0
59,16,18,298,613,945,3,3,0
60,21,17,272,525,835,3,3,0
